,별점,리뷰내용,작성자,작성일자,공감,비공감
0,10,마블 3000만큼 사랑합니다 ,전은호(eunh****),2019.04.24 10:31,23900,674
1,10,Avengers Assemble! ,송(hiuh****),2019.04.24 09:35,15841,445
2,10,I'm Ironman. ,ubola(ubol****),2019.04.24 10:32,15438,477
3,10,관람객아이언맨으로 시작해서 아이언맨으로 끝난다.. ,해피사과(qord****),2019.04.24 11:05,14604,595
4,10,아스가디언즈 오브 갤럭시 벌써부터 기대됨 ㅋㅋㅋㅋ ,마즈(choi****),2019.04.24 10:47,11959,438
5,10,히어로물보고 울줄 누가알겠습니까 ,이만호(manh****),2019.04.24 10:07,10361,305
6,10,인피니티워가 10년을 무너뜨리는 영화라면엔드게임은 10년을 돌아보는 영화입니다 ,메주0228693848(wook****),2019.04.24 12:20,9809,263
7,10,쥐가다살렸음 ㅋㅋㅋㅋ ,에헴(krth****),2019.04.24 15:26,9064,259
8,10,관람객마지막 한타에서 쌌습니다 ,김대훈(eogn****),2019.04.24 10:51,8739,383
9,10,10점 안주는 사람들은 마블에 6에서900까지밖에 애정이 없는거 ... ,tlsg****,2019.04.24 11:50,7661,445
10,10,영화 늦게 볼 수밖에 없는사람들을 생각해서 스포 자제해주세요ㅠㅠㅠ ,한승원(brya****),2019.04.24 09:07,7350,610
11,10,토르 등장씬보다 멋있는 어벤져스 집결씬 ,jjw0****,2019.04.24 10:40,6736,182
12,10,관람객고맙다.나의 20대를 채워줘서 ,pkt(anie****),2019.04.24 10:51,6325,187
13,10,"내 어린시절 11년을 즐겁게 해준 어벤져스 원년 멤버들... 마블 영화 한편 한편이 저의 초중고 시절, 울고 웃었던 추억이 되었어요. 아 눈물날거같애. 그동안 즐거웠고 감사했습니다. ",도망노비(rlad****),2019.04.24 09:41,5848,204
14,10,와 내가 3시간동안 화장실을 안갔어 ;;; ,플레기(azz2****),2019.04.24 09:38,5296,162
15,8,가장 큰 충격은 쿠키영상이 없단거다 ,케사장(kyun****),2019.04.24 10:29,5481,459
16,10,관람객토르의 뱃살은 밸런스를 위해서라는 게 학계의 정설 ,Feel(jp54****),2019.04.24 13:41,4847,147
17,10,관람객뭐 심하게 재미있지는 않고... 한 4번정도만 봐야겠어요... 아이맥스로.. ,Expiration(cras****),2019.04.24 12:29,4870,181
18,10,헤일... 하이드라... ,AlphaHyeon(alph****),2019.04.24 10:42,4573,158
19,10,토르 등장씬은 마블 역대 명장면중 2위로 물러났다 ,민샥(hong****),2019.04.24 13:00,4412,148
20,10,캡틴이 행복하면 그걸로 됐어. ,정순종(jmk8****),2019.04.24 13:53,4206,130
21,10,하일하이드라 ㅋㅋㅋㅋ 650석 사람들 다빵터졌다 ,정모(wjda****),2019.04.24 11:36,3906,185
22,10,"자기밖에 모르던 사람은 모두를 위하고타인밖에 모르던 사람은 자기를 위할 줄 알게되는지금까지의 인생에 복수(avenge)할 줄 아는 사람, 그런 영웅들의 이야기 ",어린버섯(wise****),2019.04.24 21:59,3798,98
23,10,"앞으로 얼마나 더 재미있고 얼마나 더 웅장한 영화들이 나올지 모르겠지만, 2008년 아이언맨1을 시작으로 2019년 어벤져스 앤드게임까지 내 인생의 영화시리즈중 최고의 10년을 선사해준 마블에 감사합니다. 어벤져스 ...",JB(dksw****),2019.04.24 10:41,3423,92
24,10,그래서로키는어디로감? ,김시철(tlcj****),2019.04.24 11:02,3108,128
25,10,진짜 대박이라는말밖에 안나옵니다... ,amazing(mins****),2019.04.24 09:07,3006,186
26,10,마블 어벤져스 만세! 이제 멀티버스의 세계속으로 ,jing****,2019.04.24 12:54,3697,1214
27,10,관람객3시간에 담은 11년 마블의 역사 인정 ,rude****,2019.04.24 10:55,2493,46
28,10,<관람 전 필수사항>모든 마블시네마틱유니버스 보기 아이언맨1 부터... ,이준혁(dlwn****),2019.04.24 10:03,2535,103
29,10,한마디만 할게 스포아니다 화장실 갈타이밍은 도쿄 그때 가라 ,kof3****,2019.04.26 10:33,2458,60
30,10,이 모든게 닥터 스트레인지의 엔드게임이었다는거.. ,이재근(jkle****),2019.04.24 14:39,2446,62
