,별점,리뷰내용,작성자,작성일자,공감,비공감
0,10,한국사람들 급해서 마지막 최고 정점을 못보고 막 나감 ㅜ 왜그래요..ㅜㅜ ,유유(foxm****),2015.04.23 01:24,5563,805
1,10,하 1편이 잘되면 2편은 망한다더니... 누가 그래 이 영화는 미쳤어 ,별이(ilu3****),2015.04.23 00:54,3467,1018
2,9,충무로에서 몇년간 조폭얘기나 끄적일때 헐리웃은 악당조차 업그레이드 된다. ,비토다츠야(outs****),2015.04.23 10:38,2834,457
3,10,나어릴적 아빠와우뢰매보러구 줄섰는데 세월은흘러 내따내미와 어벤져스보러줄을섭니다 TT ,fbi0****,2015.04.23 08:25,2606,442
4,10,내가 영화관에서 한국영화를 안보는 이유 ,장난하냐(cgs0****),2015.04.23 02:05,2383,738
5,10,오늘 시사회다녀와서 생전처음으로 평점남깁니다. 긴말말고 걍 가서 보세요 ,dbtl****,2015.04.23 00:45,2014,551
6,10,어벤져스 제목만 들어도 설렌다 ,Ilpleutsurlaroute(dker****),2015.04.23 00:00,1763,325
7,9,관람객한동안 놀림 받겠군.... ,꾼쟁이(feel****),2015.04.23 11:02,1486,213
8,6,"관람객스케일은 1못지않게 컸지만 더 추가된 등장인물들과 밸런스나 영화의흐름들이 조금 실망이었습니다 조금 어수선한면들이 많았고 마지막 극의 후반까지 긴장감을 쭉 가져가는 것이 조금 부족 했습니다, 너무 한번에 많은 것을 보...",RHJ(pros****),2015.04.23 13:12,2097,1062
9,10,전체적으로 무거워 졌지만 볼거리도 충분했고 히어로들은 능력과 개성은 잘 살려주었다. ,준호(june****),2015.04.23 08:23,1206,238
10,10,관람객마지막 장면 꼭 보고 가십시오 ㅋㅋㅋ ,lzxe****,2015.04.23 11:07,1059,160
11,7,관람객편집에서 약간 아쉬운 감이 있다. 한국이 생각보다 많이 나와 반갑더라. ,quantum(ropk****),2015.04.23 11:26,1009,259
12,10,관람객서울ㅋㅋ서울 나오는 장면에서 웃음이 피식 나는ㅋㅋㅋㅋ ,hysaran(aran****),2015.04.23 19:04,780,68
13,9,관람객이제 시빌워가 기대된다.극 초반에 단체로 등장할 때 소름 쫙. ,이승호(tmdg****),2015.04.23 13:38,706,96
14,10,요즘 남자들도 에코백 하나씩은 들잖아요 팬티 꼭챙겨가; ,가오나시(phj9****),2015.04.23 00:16,916,357
15,8,관람객퀵실버는 역시 엑스맨의 퀵실버가 더 낫네요. ,BIZARRE(pyb0****),2015.04.23 15:12,693,151
16,10,어머니 시험망했어요.. ,TopEames(thsg****),2015.04.23 07:03,646,106
17,10,이건 뭐 저리 많은 캐릭터들을 어떻게 이렇게 살리는지.. ,마운(moun****),2015.04.23 11:02,556,81
18,10,관람객남자는 등으로 말한다..마블 세계관을 조금이라도 알고 봐야 재미가 배가 되리라고 생각합니다 ,시안테(bloo****),2015.04.23 10:24,596,146
19,9,관람객재미있는데 서울이 무슨 시골처럼 나와서 좀 아쉽다는.. ,min8****,2015.04.25 08:33,467,73
