,별점,리뷰내용,작성자,작성일자,공감,비공감
0,10,"닥터 스트레인지 마지막 대사 ""이제 다 끝났어""는 오역입니다. ""이게 마지막 단계야""가 옳은 번역입니다. 모두들 볼 수 있게 위로 올려주세요. 또 마블의 번역가 박읍읍씨가 해냈네요. 영화...",순대볶음(gdcv****),2018.04.25 15:34,23852,572
1,1,번역가좀 짤라주세요 제발 ,RecOn(zkrp****),2018.04.25 16:26,15115,558
2,10,관람객그렇다. 토르는 신이엿다... ,wndu****,2018.04.25 10:54,13312,314
3,10,그냥 너무 충격먹어서 할말이없다... ,박우진(wls8****),2018.04.25 10:32,9575,308
4,10,관람객내년까지 살아가야 할 이유가 생겼습니다 ,별명(bomu****),2018.04.25 11:22,9049,258
5,9,3시간짜리 어벤져스4  예고편보고옴 ,창전동비욘세(anna****),2018.04.25 13:07,8400,307
6,10,토르 지구 귀환 씬에서 탄성이 절로 나옴 ,천냉(0806****),2018.04.25 15:35,7812,118
7,10,영화는 너무 좋은데 자막 돌았나? 닥터 스트레인지가 마지막에 이젠 다 끝났어가 아니라 이제 최종단계야가 맞는 해석아님? 글고 쿠키영상에 마더파커를 어머니찾는 효자로 만들어놨네ㄷㄷ 영화의 재미를 자막이 반감시키는듯 하...,rlar****,2018.04.25 13:14,6819,155
8,10,타노스에게 당하고도 주늑들지 않았던것은 토르뿐이였다영화마지막 4살짜리 아이처럼신을찾는 캡틴과 스타크의 좌절..결국 그들도 영웅이기 이전에 재앙과 전쟁이 두려운 그저 인간이었다는것 누가쎄다 약하다보다 인간과 신의차이를...,alsl****,2018.04.25 13:31,5542,212
9,10,"성지예약)) 잘봐라 닥터스트레인지가 첨에 분명 느그들 다 죽어도 타임스톤 지킨다고 했지 글구나서 이기는 경우 1개라했고 근데 토니 죽기직전에 타임스톤을 넘김 이건, 타임스톤을 넘겨야만 승리한다는것. 여기서 예측=타노...",ClasS(perk****),2018.04.25 18:19,6574,1341
10,9,관람객이 영화의 최고의 빌런은 번역가다. ,Henry(henr****),2018.04.25 16:45,5056,95
11,10,타노스는  손가락 튕기는것 만으로 어벤져스의 진골과 성골을 구별한다. ,스미스(surp****),2018.04.25 14:22,4504,112
12,7,미세먼지 원인이 타노스 였다... ,김혜린(hyer****),2018.04.25 15:38,4461,131
13,10,스타로드 때문에 망한영화... ,효르스(dar1****),2018.04.25 11:42,5375,1219
14,10,진짜 영화 다끝나고 나서 영화관에 사람들 전부다 벙쪄있다.. 본사람만 알듯.. ,김진성(kjs9****),2018.04.25 11:03,4093,102
15,10,유튜버 추측한 인간들 다 틀렸어 ㅋㅋㅋ ,일체유심조(esot****),2018.04.25 11:43,4040,133
